POSTCODE,POSTCODE2,POSTCODE_PCDS,LAT,LONG,LEP1,LEP2,COUNTY_CODE,COUNTY_DIST_CODE,WARD_CODE
DL104GE,DL10 4GE,DL10 4GE,54.404491,-1.749883,E37000039,,E10000023,E07000166,E05006294
DL104GG,DL10 4GG,DL10 4GG,54.401775,-1.740380,E37000039,,E10000023,E07000166,E05006294
DL104GH,DL10 4GH,DL10 4GH,54.404072,-1.738825,E37000039,,E10000023,E07000166,E05006294
DL104GZ,DL10 4GZ,DL10 4GZ,54.403980,-1.737153,E37000039,,E10000023,E07000166,E05006294
DL104HA,DL10 4HA,DL10 4HA,54.405701,-1.752802,E37000039,,E10000023,E07000166,E05006294
DL104HB,DL10 4HB,DL10 4HB,54.405201,-1.754361,E37000039,,E10000023,E07000166,E05006294
DL104HD,DL10 4HD,DL10 4HD,54.405867,-1.754866,E37000039,,E10000023,E07000166,E05006294
DL104HE,DL10 4HE,DL10 4HE,54.406031,-1.755712,E37000039,,E10000023,E07000166,E05006294
DL104HF,DL10 4HF,DL10 4HF,54.405554,-1.755669,E37000039,,E10000023,E07000166,E05006294
DL104HG,DL10 4HG,DL10 4HG,54.405105,-1.755502,E37000039,,E10000023,E07000166,E05006294
DL104HH,DL10 4HH,DL10 4HH,54.403525,-1.735069,E37000039,,E10000023,E07000166,E05006292
DL104HJ,DL10 4HJ,DL10 4HJ,54.405090,-1.744241,E37000039,,E10000023,E07000166,E05006294
DL104HL,DL10 4HL,DL10 4HL,54.314560,-2.086045,E37000039,,E10000023,E07000166,E05006273
DL104HN,DL10 4HN,DL10 4HN,54.404133,-1.755107,E37000039,,E10000023,E07000166,E05006294
DL104HP,DL10 4HP,DL10 4HP,54.403880,-1.737116,E37000039,,E10000023,E07000166,E05006294
DL104HQ,DL10 4HQ,DL10 4HQ,54.403781,-1.736855,E37000039,,E10000023,E07000166,E05006294
DL104HR,DL10 4HR,DL10 4HR,54.403908,-1.737547,E37000039,,E10000023,E07000166,E05006294
DL104HS,DL10 4HS,DL10 4HS,54.403566,-1.737257,E37000039,,E10000023,E07000166,E05006294
DL104HT,DL10 4HT,DL10 4HT,54.402871,-1.735921,E37000039,,E10000023,E07000166,E05006294
DL104HU,DL10 4HU,DL10 4HU,54.403528,-1.736610,E37000039,,E10000023,E07000166,E05006294
DL104HW,DL10 4HW,DL10 4HW,54.404838,-1.751797,E37000039,,E10000023,E07000166,E05006294
DL104HX,DL10 4HX,DL10 4HX,54.403249,-1.736288,E37000039,,E10000023,E07000166,E05006294
DL104HY,DL10 4HY,DL10 4HY,54.403134,-1.737074,E37000039,,E10000023,E07000166,E05006294
DL104HZ,DL10 4HZ,DL10 4HZ,54.403564,-1.735769,E37000039,,E10000023,E07000166,E05006292
DL104JA,DL10 4JA,DL10 4JA,54.404094,-1.736236,E37000039,,E10000023,E07000166,E05006292
DL104JB,DL10 4JB,DL10 4JB,54.403473,-1.735855,E37000039,,E10000023,E07000166,E05006292
DL104JD,DL10 4JD,DL10 4JD,54.403824,-1.736377,E37000039,,E10000023,E07000166,E05006294
DL104JE,DL10 4JE,DL10 4JE,54.403642,-1.735161,E37000039,,E10000023,E07000166,E05006292
DL104JF,DL10 4JF,DL10 4JF,54.403525,-1.735069,E37000039,,E10000023,E07000166,E05006292
DL104JG,DL10 4JG,DL10 4JG,54.403464,-1.735461,E37000039,,E10000023,E07000166,E05006292
DL104JH,DL10 4JH,DL10 4JH,54.402692,-1.736384,E37000039,,E10000023,E07000166,E05006294
DL104JJ,DL10 4JJ,DL10 4JJ,54.402809,-1.736522,E37000039,,E10000023,E07000166,E05006294
